county, housing units, population, households, housing burden, disabled people, housing in structures with 10 or more units, mobile homes, housing units w more people than rooms, households wo vehicle, people in group quartersAlachua County, 123751.000000, 279729.000000, 108597.000000, 0.286301, 0.113796, 0.204144, 0.065898, 0.016881, 0.071484, 0.066032
Manatee County, 208358.000000, 405069.000000, 161656.000000, 0.213911, 0.144872, 0.142749, 0.140225, 0.016414, 0.039522, 0.012393
Marion County, 179079.000000, 378225.000000, 154996.000000, 0.220517, 0.160254, 0.034203, 0.189564, 0.019544, 0.049014, 0.023169
Martin County, 81593.000000, 159399.000000, 66724.000000, 0.201598, 0.139286, 0.145613, 0.091270, 0.008567, 0.048573, 0.025301
Miami-Dade County, 1075278.000000, 2688237.000000, 952680.000000, 0.351773, 0.101012, 0.393674, 0.012924, 0.057832, 0.097435, 0.017375
Monroe County, 54034.000000, 82044.000000, 34388.000000, 0.192953, 0.104834, 0.129955, 0.088426, 0.028538, 0.067087, 0.020257
Nassau County, 42121.000000, 91538.000000, 36336.000000, 0.178794, 0.171907, 0.064861, 0.189502, 0.010755, 0.030328, 0.009668
Okaloosa County, 101408.000000, 212021.000000, 83334.000000, 0.229242, 0.144976, 0.169868, 0.046495, 0.017839, 0.037164, 0.024894
Okeechobee County, 18496.000000, 39870.000000, 14919.000000, 0.194961, 0.167545, 0.023140, 0.374838, 0.038711, 0.031570, 0.068096
Orange County, 565109.000000, 1427403.000000, 491378.000000, 0.293676, 0.111496, 0.230885, 0.032213, 0.032077, 0.052322, 0.026676
Osceola County, 156976.000000, 393745.000000, 119817.000000, 0.286923, 0.138681, 0.136951, 0.070488, 0.035063, 0.045094, 0.005473
Palm Beach County, 708303.000000, 1494805.000000, 589594.000000, 0.265266, 0.122597, 0.250178, 0.026936, 0.026964, 0.060045, 0.016656
Pasco County, 259083.000000, 569211.000000, 223385.000000, 0.238267, 0.162608, 0.063594, 0.180101, 0.013027, 0.048208, 0.014221
Pinellas County, 516276.000000, 959918.000000, 418716.000000, 0.246653, 0.152878, 0.244085, 0.090283, 0.015174, 0.068961, 0.023791
Polk County, 320023.000000, 736229.000000, 264145.000000, 0.235886, 0.139592, 0.059733, 0.204813, 0.027582, 0.052161, 0.020810
Putnam County, 36183.000000, 73604.000000, 29782.000000, 0.206837, 0.181566, 0.023547, 0.421579, 0.021253, 0.075079, 0.018586
Santa Rosa County, 76585.000000, 188994.000000, 69524.000000, 0.189371, 0.141825, 0.043390, 0.084703, 0.016661, 0.035081, 0.028101
Sarasota County, 254601.000000, 439392.000000, 199345.000000, 0.200710, 0.149331, 0.167285, 0.083256, 0.010098, 0.044330, 0.017622
Seminole County, 194744.000000, 471321.000000, 183487.000000, 0.277826, 0.112632, 0.151553, 0.023287, 0.024047, 0.039360, 0.009344
St. Johns County, 120920.000000, 278722.000000, 102056.000000, 0.179375, 0.104624, 0.088066, 0.055425, 0.008411, 0.023781, 0.010885
St. Lucie County, 150054.000000, 334682.000000, 126443.000000, 0.252682, 0.151087, 0.107735, 0.069808, 0.016474, 0.045428, 0.009833
Sumter County, 76923.000000, 131832.000000, 64305.000000, 0.168441, 0.174040, 0.035724, 0.125476, 0.009750, 0.034694, 0.062094
Suwannee County, 18948.000000, 43881.000000, 15453.000000, 0.161706, 0.198286, 0.020108, 0.500897, 0.022430, 0.059471, 0.039174
Taylor County, 11110.000000, 21421.000000, 7465.000000, 0.131683, 0.178516, 0.006391, 0.373447, 0.013051, 0.055325, 0.142570
Union County, 4716.000000, 15524.000000, 4094.000000, 0.113444, 0.121103, 0.005513, 0.454198, 0.053223, 0.036639, 0.321438
Volusia County, 273835.000000, 558520.000000, 232673.000000, 0.259623, 0.170930, 0.142213, 0.084299, 0.012898, 0.056264, 0.025175
Wakulla County, 13843.000000, 33732.000000, 11932.000000, 0.194683, 0.121042, 0.000650, 0.291844, 0.023550, 0.033691, 0.086446
Walton County, 56744.000000, 76618.000000, 31491.000000, 0.132032, 0.157039, 0.192197, 0.129934, 0.014839, 0.038709, 0.020674
Washington County, 10874.000000, 25014.000000, 9095.000000, 0.180246, 0.182818, 0.008277, 0.371253, 0.016369, 0.028917, 0.110098
